=== [DEBUG] Vertices (228 total) ===
[  133] Pos(  0.2237,  -0.6846,   0.3897)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[  134] Pos(  0.2237,  -0.0755,  -0.0376)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[  135] Pos( -0.2274,  -0.6846,   0.3897)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[  136] Pos( -0.2274,  -0.0755,  -0.0376)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[  137] Pos(  0.2237,  -0.0755,  -0.0376)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[  138] Pos(  0.2237,   1.1194,   0.9015)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[  139] Pos(  0.2237,   0.5073,   0.9015)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[  140] Pos(  0.2237,   1.1043,   0.4085)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[  141] Pos( -0.2274,  -0.6846,   0.3897)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[  142] Pos( -0.2274,  -0.0755,  -0.0376)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[  143] Pos( -0.2274,  -0.7312,  -0.0376)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[  144] Pos(  0.2237,  -0.7312,  -0.0376)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[  145] Pos(  0.2237,  -0.0755,  -0.0376)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[  146] Pos(  0.2237,  -0.6846,   0.3897)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[  147] Pos(  0.2324,  -0.2945,   2.2979)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[  148] Pos(  0.2324,   1.1200,   1.1338)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[  149] Pos(  0.2324,   1.1200,   1.6028)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[  150] Pos(  0.2237,   1.1194,  -0.0376)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[  151] Pos(  0.2237,   1.1194,   0.9015)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[  152] Pos(  0.2237,   1.1043,   0.4085)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[  153] Pos(  0.2237,  -0.7312,   0.9015)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
